Reference	Degraded	Fsample	PESQ_score
g729char/exp1/original/d/d_m01s02.8k.wav	g729char/exp1/coded/d/de1m0202.8k.out	8000	3.512
g729char/exp1/original/d/d_m02s02.8k.wav	g729char/exp1/coded/d/de1m2e02.8k.out	8000	3.585
g729char/exp1/original/d/d_f01s03.8k.wav	g729char/exp1/coded/d/de1f5b03.8k.out	8000	3.032
g729char/exp1/original/d/d_f02s03.8k.wav	g729char/exp1/coded/d/de1f8703.8k.out	8000	2.892
g729char/exp1/original/d/d_m01s03.8k.wav	g729char/exp1/coded/d/de1m0303.8k.out	8000	3.043
g729char/exp1/original/d/d_m02s03.8k.wav	g729char/exp1/coded/d/de1m2f03.8k.out	8000	3.109
g729char/exp1/original/d/d_f01s04.8k.wav	g729char/exp1/coded/d/de1f5c04.8k.out	8000	3.87
g729char/exp1/original/d/d_f02s04.8k.wav	g729char/exp1/coded/d/de1f8804.8k.out	8000	3.892
g729char/exp1/original/d/d_m01s04.8k.wav	g729char/exp1/coded/d/de1m0404.8k.out	8000	4.114
g729char/exp1/original/d/d_m02s04.8k.wav	g729char/exp1/coded/d/de1m3004.8k.out	8000	3.932
g729char/exp1/original/d/d_f01s05.8k.wav	g729char/exp1/coded/d/de1f5d05.8k.out	8000	3.286
g729char/exp1/original/d/d_f02s05.8k.wav	g729char/exp1/coded/d/de1f8905.8k.out	8000	3.317
g729char/exp1/original/d/d_m01s05.8k.wav	g729char/exp1/coded/d/de1m0505.8k.out	8000	3.61
g729char/exp1/original/d/d_m02s05.8k.wav	g729char/exp1/coded/d/de1m3105.8k.out	8000	3.329
g729char/exp1/original/d/d_f01s06.8k.wav	g729char/exp1/coded/d/de1f5e06.8k.out	8000	3.513
g729char/exp1/original/d/d_f02s06.8k.wav	g729char/exp1/coded/d/de1f8a06.8k.out	8000	3.431
g729char/exp1/original/d/d_m01s06.8k.wav	g729char/exp1/coded/d/de1m0606.8k.out	8000	3.823
g729char/exp1/original/d/d_m02s06.8k.wav	g729char/exp1/coded/d/de1m3206.8k.out	8000	3.685
g729char/exp1/original/d/d_f01s07.8k.wav	g729char/exp1/coded/d/de1f5f07.8k.out	8000	4.307
g729char/exp1/original/d/d_f02s07.8k.wav	g729char/exp1/coded/d/de1f8b07.8k.out	8000	4.384
g729char/exp1/original/d/d_m01s07.8k.wav	g729char/exp1/coded/d/de1m0707.8k.out	8000	4.274
g729char/exp1/original/d/d_m02s07.8k.wav	g729char/exp1/coded/d/de1m3307.8k.out	8000	4.343
g729char/exp1/original/d/d_f01s08.8k.wav	g729char/exp1/coded/d/de1f6008.8k.out	8000	3.289
g729char/exp1/original/d/d_f02s08.8k.wav	g729char/exp1/coded/d/de1f8c08.8k.out	8000	3.132
g729char/exp1/original/d/d_m01s08.8k.wav	g729char/exp1/coded/d/de1m0808.8k.out	8000	3.904
g729char/exp1/original/d/d_m02s08.8k.wav	g729char/exp1/coded/d/de1m3408.8k.out	8000	3.868
g729char/exp1/original/d/d_f01s09.8k.wav	g729char/exp1/coded/d/de1f6109.8k.out	8000	3.314
g729char/exp1/original/d/d_f02s09.8k.wav	g729char/exp1/coded/d/de1f8d09.8k.out	8000	3.012
g729char/exp1/original/d/d_m01s09.8k.wav	g729char/exp1/coded/d/de1m0909.8k.out	8000	3.661
g729char/exp1/original/d/d_m02s09.8k.wav	g729char/exp1/coded/d/de1m3509.8k.out	8000	3.726
g729char/exp1/original/d/d_f01s10.8k.wav	g729char/exp1/coded/d/de1f6210.8k.out	8000	2.958
g729char/exp1/original/d/d_f02s10.8k.wav	g729char/exp1/coded/d/de1f8e10.8k.out	8000	2.944
g729char/exp1/original/d/d_m01s10.8k.wav	g729char/exp1/coded/d/de1m0a10.8k.out	8000	3.281
g729char/exp1/original/d/d_m02s10.8k.wav	g729char/exp1/coded/d/de1m3610.8k.out	8000	3.269
g729char/exp1/original/d/d_f01s11.8k.wav	g729char/exp1/coded/d/de1f6311.8k.out	8000	3.537
g729char/exp1/original/d/d_f02s11.8k.wav	g729char/exp1/coded/d/de1f8f11.8k.out	8000	3.238
g729char/exp1/original/d/d_m01s11.8k.wav	g729char/exp1/coded/d/de1m0b11.8k.out	8000	3.786
g729char/exp1/original/d/d_m02s11.8k.wav	g729char/exp1/coded/d/de1m3711.8k.out	8000	3.736
g729char/exp1/original/d/d_f01s12.8k.wav	g729char/exp1/coded/d/de1f6412.8k.out	8000	3.37
g729char/exp1/original/d/d_f02s12.8k.wav	g729char/exp1/coded/d/de1f9012.8k.out	8000	3.169
g729char/exp1/original/d/d_m01s12.8k.wav	g729char/exp1/coded/d/de1m0c12.8k.out	8000	3.727
g729char/exp1/original/d/d_m02s12.8k.wav	g729char/exp1/coded/d/de1m3812.8k.out	8000	3.687
g729char/exp1/original/d/d_f01s13.8k.wav	g729char/exp1/coded/d/de1f6513.8k.out	8000	3.078
g729char/exp1/original/d/d_f02s13.8k.wav	g729char/exp1/coded/d/de1f9113.8k.out	8000	2.779
g729char/exp1/original/d/d_m01s13.8k.wav	g729char/exp1/coded/d/de1m0d13.8k.out	8000	3.49
g729char/exp1/original/d/d_m02s13.8k.wav	g729char/exp1/coded/d/de1m3913.8k.out	8000	3.522
g729char/exp1/original/d/d_f01s14.8k.wav	g729char/exp1/coded/d/de1f6614.8k.out	8000	2.9
g729char/exp1/original/d/d_f02s14.8k.wav	g729char/exp1/coded/d/de1f9214.8k.out	8000	2.808
g729char/exp1/original/d/d_m01s14.8k.wav	g729char/exp1/coded/d/de1m0e14.8k.out	8000	3.278
g729char/exp1/original/d/d_m02s14.8k.wav	g729char/exp1/coded/d/de1m3a14.8k.out	8000	3.389
g729char/exp1/original/d/d_f01s15.8k.wav	g729char/exp1/coded/d/de1f6715.8k.out	8000	3.027
g729char/exp1/original/d/d_f02s15.8k.wav	g729char/exp1/coded/d/de1f9315.8k.out	8000	2.854
g729char/exp1/original/d/d_m01s15.8k.wav	g729char/exp1/coded/d/de1m0f15.8k.out	8000	3.197
g729char/exp1/original/d/d_m02s15.8k.wav	g729char/exp1/coded/d/de1m3b15.8k.out	8000	3.134
g729char/exp1/original/d/d_f01s16.8k.wav	g729char/exp1/coded/d/de1f6816.8k.out	8000	3.456
g729char/exp1/original/d/d_f02s16.8k.wav	g729char/exp1/coded/d/de1f9416.8k.out	8000	3.511
g729char/exp1/original/d/d_m01s16.8k.wav	g729char/exp1/coded/d/de1m1016.8k.out	8000	3.792
g729char/exp1/original/d/d_m02s16.8k.wav	g729char/exp1/coded/d/de1m3c16.8k.out	8000	3.663
g729char/exp1/original/d/d_f01s17.8k.wav	g729char/exp1/coded/d/de1f6917.8k.out	8000	3.493
g729char/exp1/original/d/d_f02s17.8k.wav	g729char/exp1/coded/d/de1f9517.8k.out	8000	3.345
g729char/exp1/original/d/d_m01s17.8k.wav	g729char/exp1/coded/d/de1m1117.8k.out	8000	3.607
