REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp1\original\d\d_m02s07.wav	 g729char\exp1\coded\d\de1m3307.out	16000	4.049
g729char\exp1\original\d\d_f01s08.wav	 g729char\exp1\coded\d\de1f6008.out	16000	1.607
g729char\exp1\original\d\d_f02s08.wav	 g729char\exp1\coded\d\de1f8c08.out	16000	2.056
g729char\exp1\original\d\d_m01s08.wav	 g729char\exp1\coded\d\de1m0808.out	16000	3.302
g729char\exp1\original\d\d_m02s08.wav	 g729char\exp1\coded\d\de1m3408.out	16000	3.157
g729char\exp1\original\d\d_f01s09.wav	 g729char\exp1\coded\d\de1f6109.out	16000	2.359
g729char\exp1\original\d\d_f02s09.wav	 g729char\exp1\coded\d\de1f8d09.out	16000	2.09
g729char\exp1\original\d\d_m01s09.wav	 g729char\exp1\coded\d\de1m0909.out	16000	2.535
g729char\exp1\original\d\d_m02s09.wav	 g729char\exp1\coded\d\de1m3509.out	16000	3.179
g729char\exp1\original\d\d_f01s10.wav	 g729char\exp1\coded\d\de1f6210.out	16000	1.981
g729char\exp1\original\d\d_f02s10.wav	 g729char\exp1\coded\d\de1f8e10.out	16000	2.008
g729char\exp1\original\d\d_m01s10.wav	 g729char\exp1\coded\d\de1m0a10.out	16000	2.31
g729char\exp1\original\d\d_m02s10.wav	 g729char\exp1\coded\d\de1m3610.out	16000	2.573
g729char\exp1\original\d\d_f01s11.wav	 g729char\exp1\coded\d\de1f6311.out	16000	2.746
g729char\exp1\original\d\d_f02s11.wav	 g729char\exp1\coded\d\de1f8f11.out	16000	2.621
g729char\exp1\original\d\d_m01s11.wav	 g729char\exp1\coded\d\de1m0b11.out	16000	3.018
g729char\exp1\original\d\d_m02s11.wav	 g729char\exp1\coded\d\de1m3711.out	16000	2.949
g729char\exp1\original\d\d_f01s12.wav	 g729char\exp1\coded\d\de1f6412.out	16000	2.375
g729char\exp1\original\d\d_f02s12.wav	 g729char\exp1\coded\d\de1f9012.out	16000	2.247
g729char\exp1\original\d\d_m01s12.wav	 g729char\exp1\coded\d\de1m0c12.out	16000	3.003
g729char\exp1\original\d\d_m02s12.wav	 g729char\exp1\coded\d\de1m3812.out	16000	2.843
g729char\exp1\original\d\d_f01s13.wav	 g729char\exp1\coded\d\de1f6513.out	16000	1.703
g729char\exp1\original\d\d_f02s13.wav	 g729char\exp1\coded\d\de1f9113.out	16000	1.842
g729char\exp1\original\d\d_m01s13.wav	 g729char\exp1\coded\d\de1m0d13.out	16000	2.51
g729char\exp1\original\d\d_m02s13.wav	 g729char\exp1\coded\d\de1m3913.out	16000	2.779
g729char\exp1\original\d\d_f01s14.wav	 g729char\exp1\coded\d\de1f6614.out	16000	1.861
g729char\exp1\original\d\d_f02s14.wav	 g729char\exp1\coded\d\de1f9214.out	16000	1.928
g729char\exp1\original\d\d_m01s14.wav	 g729char\exp1\coded\d\de1m0e14.out	16000	2.39
g729char\exp1\original\d\d_m02s14.wav	 g729char\exp1\coded\d\de1m3a14.out	16000	2.509
g729char\exp1\original\d\d_f01s15.wav	 g729char\exp1\coded\d\de1f6715.out	16000	2.061
g729char\exp1\original\d\d_f02s15.wav	 g729char\exp1\coded\d\de1f9315.out	16000	1.843
